hit_ID,x,y,z,layer_ID,particle_ID,particle_energy
5690,0.1023242373448397,-0.0010758533556158034,4.1560125,Plane 2,1596,7297.793001498618
5692,0.10180982663620017,-0.000981934554302366,4.1560125,Plane 2,1598,7339.822680222456
5693,0.1112824155006216,-0.00035852304513634824,4.1560125,Plane 2,1599,6631.6922595702945
5697,0.12169089683977465,0.0010102892117396618,4.1560125,Plane 2,1603,6036.849665949971
5700,0.13041435724429912,0.0011633500178329435,4.1560125,Plane 2,1606,5728.749284529476
5702,0.1233766956200513,0.0005244175502903475,4.1560125,Plane 2,1608,5951.912336289682
5705,0.11365210123584907,0.0011580185457709315,4.1560125,Plane 2,1611,6522.798715770155
5711,0.13095596347243796,-0.0008911276873476843,4.1560125,Plane 2,1617,5718.507979822644
5715,0.10235330697514534,-0.0005046076454899344,4.1560125,Plane 2,1621,7257.938179571259
5721,0.10152349610956701,-0.0010975095279825062,4.1560125,Plane 2,1627,7346.362739663363
5723,0.09214373404691234,0.000515074695767171,4.1560125,Plane 2,1629,8119.657234082019
5729,0.0985888159991514,0.0007541487586888963,4.1560125,Plane 2,1635,7448.836101689827
5737,0.11053856939942412,0.0006108754669161023,4.1560125,Plane 2,1643,6763.062360320325
5738,0.12932056392199145,-0.0018176334017943581,4.1560125,Plane 2,1644,5757.115395931738
5739,0.11284081887294374,-0.0014995950881558208,4.1560125,Plane 2,1645,6585.535462484406
5740,0.11750492443145374,0.0009621355531700834,4.1560125,Plane 2,1646,6286.877252520862
5741,0.12436376703206665,0.00143463769105949,4.1560125,Plane 2,1647,5941.526773473132
5749,0.12126866541839934,-0.0015929153678658425,4.1560125,Plane 2,1655,6088.880277433232
5751,0.0915340958989053,0.00021178384049924383,4.1560125,Plane 2,1657,8144.202262398426
5753,0.1310020177224712,0.0004677864170499753,4.1560125,Plane 2,1659,5709.77132898066
5755,0.12359985577024421,0.0002458125683238081,4.1560125,Plane 2,1661,5956.408533308041
5764,0.12546790645932204,-0.0004917089129484994,4.1560125,Plane 2,1670,5977.664441530992
5765,0.12974083017921517,-0.0012877030479691702,4.1560125,Plane 2,1671,5735.206270929425
5766,0.1295297218283136,-0.0010673200274176353,4.1560125,Plane 2,1672,5736.588047410707
5769,0.1076107164815964,-0.0012175562542542625,4.1560125,Plane 2,1675,6908.153645345805
5789,0.09774936674577565,-0.0002479908200922022,4.1560125,Plane 2,1695,7641.805897721822
5790,0.12278249536819079,-0.0007118440772715621,4.1560125,Plane 2,1696,6030.25695048095
5792,0.11108145505774931,-0.0004557161944261097,4.1560125,Plane 2,1698,6608.882370824547
5793,0.09083659889020097,0.0006431971767387611,4.1560125,Plane 2,1699,8106.35150407947
5794,0.10642917485968928,0.0004244227135169037,4.1560125,Plane 2,1700,6995.454183279296
5800,0.12085870744854932,0.0002165660121031422,4.1560125,Plane 2,1706,6217.706174896164
5802,0.11435241837418368,-0.0015013391694776836,4.1560125,Plane 2,1708,6452.065279568073
5805,0.1230206148705963,-0.0016279578388816113,4.1560125,Plane 2,1711,6085.238223195641
5809,0.11175531217976434,-0.0006416113757324452,4.1560125,Plane 2,1715,6671.48172649435
5810,0.13020881345121896,0.00032041444968831,4.1560125,Plane 2,1716,5776.412515567974
5811,0.12007728897714907,8.453750863297181e-05,4.1560125,Plane 2,1717,6144.251870581217
5817,0.11879998155744083,-0.0006707239287696836,4.1560125,Plane 2,1723,6190.9140310361
5818,0.10782849983589213,-0.0015576334291394725,4.1560125,Plane 2,1724,6893.964352550202
5824,0.11652934450354917,0.00030909436578504266,4.1560125,Plane 2,1730,6336.174206639073
5826,0.11177392698701696,-0.0008895247868297952,4.1560125,Plane 2,1732,6575.343703367548
5833,0.11648405426461901,-0.0008285251672522826,4.1560125,Plane 2,1739,6385.004373642534
5836,0.11624126317318807,-0.0007563397648584365,4.1560125,Plane 2,1742,6409.3367418311545
5839,0.10639031136870265,0.0007980849155013946,4.1560125,Plane 2,1745,6973.797263821672
5840,0.09678170244707561,-0.00047192130095239016,4.1560125,Plane 2,1746,7652.644590477986
